Ear Tag,Breed,Sex,Date Of Birth,Date Of Disposal,Disposed Of To,Date Of Death,Age(mths),
UK107189103503,BRITISH FRIESIAN X,Female,03/04/2020,,,,12,
UK107189303498,HOLSTEIN FRIESIAN,Female,03/04/2020,,,,12,
UK107189403499,HOLSTEIN FRIESIAN,Female,03/04/2020,,,,12,
UK107189603501,HOLSTEIN FRIESIAN X,Female,03/04/2020,,,,12,
UK107189703502,Holstein,Female,03/04/2020,,,,12,
UK107189203504,HOLSTEIN FRIESIAN X,Female,08/04/2020,13/05/2020,31/227/0024 Cockle Park,,1,
UK107189403506,HOLSTEIN FRIESIAN,Female,10/04/2020,,,04/06/2020,1,
UK107189603522,HOLSTEIN FRIESIAN,Female,10/04/2020,,,,12,
UK107189303519,HOLSTEIN FRIESIAN,Female,10/04/2020,16/02/2021,31/227/0024 Cockle Park,,10,
UK107189103524,HOLSTEIN FRIESIAN X,Female,10/04/2020,,,,12,
UK 107189 103615,HOLSTEIN FRIESIAN,Bull,10/04/2020,14/05/2020,12/176/0014,,1,
UK 107189 503619,HOLSTEIN FRIESIAN,Bull,10/04/2020,,,,12,
UK107189503521,BRITISH FRIESIAN X,Female,10/04/2020,,,,12,
UK107189403527,HOLSTEIN FRIESIAN,Female,10/04/2020,16/02/2021,31/227/0024 Cockle Park,,10,
UK107189703523,BRITISH FRIESIAN X,Female,10/04/2020,,,,12,
UK107189303512,HOLSTEIN FRIESIAN,Female,10/04/2020,,,,12,
UK107189303540,HOLSTEIN FRIESIAN X,Female,10/04/2020,,,15/04/2020,0,
UK107189703495,HOLSTEIN FRIESIAN,Female,10/04/2020,,,,12,
UK 107189 703614,HOLSTEIN FRIESIAN,Bull,10/04/2020,14/05/2020,12/176/0014,,1,
UK107189403492,HOLSTEIN FRIESIAN,Female,10/04/2020,,,16/04/2020,0,
UK 107189 503612,Swedish Red X,Bull,10/04/2020,,,,12,
UK 107189 603613,HOLSTEIN FRIESIAN,Bull,10/04/2020,07/05/2020,,,0,
UK107189503493,HOLSTEIN FRIESIAN,Female,10/04/2020,13/05/2020,31/227/0024 Cockle Park,,1,
UK107189303505,BRITISH FRIESIAN X,Female,10/04/2020,13/05/2020,31/227/0024 Cockle Park,,1,
UK107189603494,HOLSTEIN FRIESIAN,Female,11/04/2020,,,,12,
UK107189603508,HOLSTEIN FRIESIAN,Female,12/04/2020,,,,12,
UK107189203525,HOLSTEIN FRIESIAN,Female,12/04/2020,,,05/06/2020,1,
UK107189703509,HOLSTEIN FRIESIAN,Female,12/04/2020,,,,12,
UK107189503507,HOLSTEIN FRIESIAN,Female,12/04/2020,13/05/2020,31/227/0024 Cockle Park,,1,
UK107189103510,HOLSTEIN FRIESIAN,Female,13/04/2020,,,,12,
UK107189203511,Holstein,Female,14/04/2020,,,,12,
UK107189403513,BRITISH FRIESIAN X,Female,14/04/2020,,,,12,
UK107189503514,HOLSTEIN FRIESIAN,Female,15/04/2020,,,,12,
UK107189603515,HOLSTEIN FRIESIAN,Female,15/04/2020,16/02/2021,31/227/0024 Cockle Park,,10,
UK107189703516,HOLSTEIN FRIESIAN,Female,16/04/2020,,,,12,
UK107189603529,HOLSTEIN FRIESIAN,Female,17/04/2020,,,,12,
UK 107189 203616,HOLSTEIN FRIESIAN X,Bull,17/04/2020,14/05/2020,12/176/0014,,0,
UK 107189 303617,HOLSTEIN FRIESIAN,Female,18/04/2020,,,05/06/2020,1,
UK 107189 703621,HOLSTEIN FRIESIAN,Bull,21/04/2020,14/05/2020,12/176/0014,,0,
UK107189403534,Shorthorn,Female,21/04/2020,,,,11,
UK107189503535,Shorthorn,Female,21/04/2020,,,,11,
UK 107189 203623,HOLSTEIN FRIESIAN X,Bull,22/04/2020,,,07/05/2020,0,
UK107189203532,HOLSTEIN FRIESIAN,Female,22/04/2020,,,,11,
UK107189703530,HOLSTEIN FRIESIAN,Female,22/04/2020,,,01/05/2020,0,
UK107189103622,Shorthorn Dairy,Bull,22/04/2020,,,,11,
UK107189103531,HOLSTEIN FRIESIAN,Female,24/04/2020,,,28/04/2020,0,
UK107189303533,HOLSTEIN FRIESIAN,Female,24/04/2020,16/02/2021,31/227/0024 Cockle Park,,9,
UK107189703537,HOLSTEIN FRIESIAN,Female,01/05/2020,,,,11,
UK107189603536,HOLSTEIN FRIESIAN,Female,01/05/2020,,,,11,
UK107189203490,HOLSTEIN FRIESIAN,Female,03/03/2020,13/05/2020,31/227/0024 Cockle Park,,2,
UK107189303491,HOLSTEIN FRIESIAN,Female,02/03/2020,13/05/2020,31/227/0024 Cockle Park,,2,
UK107189303505,BRITISH FRIESIAN X,Female,10/04/2020,13/05/2020,31/227/0024 Cockle Park,,1,
UK107189503507,HOLSTEIN FRIESIAN,Female,12/04/2020,13/05/2020,31/227/0024 Cockle Park,,1,
UK107189503493,HOLSTEIN FRIESIAN,Female,10/04/2020,13/05/2020,31/227/0024 Cockle Park,,1,
UK107189403128,HOLSTEIN FRIESIAN,Female,27/10/2018,,,20/05/2020,19,
UK107189203140,HOLSTEIN FRIESIAN X,Female,05/11/2018,,,,29,
UK107189403135,HOLSTEIN FRIESIAN,Female,31/10/2018,,,,29,
UK107189203070,Holstein,Female,09/08/2018,,,,32,
UK107189203210,HOLSTEIN FRIESIAN,Female,20/01/2019,,,,27,
UK107189703019,HOLSTEIN FRIESIAN,Female,30/05/2018,,,,34,
UK106710602746,HOLSTEIN FRIESIAN,Female,22/04/2018,,,,36,
UK106710402758,HOLSTEIN FRIESIAN,Female,14/05/2018,,,,35,
UK107189303218,HOLSTEIN FRIESIAN,Female,10/02/2019,,,13/01/2021,23,
UK106710302757,HOLSTEIN FRIESIAN,Female,13/05/2018,,,,35,
UK107189503052,Holstein,Female,15/07/2018,,,,33,
UK107189103111,HOLSTEIN FRIESIAN,Female,05/10/2018,,,,30,
UK107189702935,HOLSTEIN FRIESIAN,Female,30/01/2018,,,,38,
UK107189303127,HOLSTEIN FRIESIAN,Female,27/10/2018,,,,29,
UK107189103146,HOLSTEIN FRIESIAN,Female,08/11/2018,,,,29,
UK107189603172,HOLSTEIN FRIESIAN,Female,29/11/2018,,,,28,
UK107189503101,HOLSTEIN FRIESIAN,Female,18/09/2018,,,,31,
UK107189603095,HOLSTEIN FRIESIAN,Female,10/09/2018,,,,31,
UK107189403107,HOLSTEIN FRIESIAN,Female,30/09/2018,,,02/12/2020,26,
UK107189502884,HOLSTEIN FRIESIAN,Female,07/11/2017,18/02/2021,Linden Foods,,39,
UK106710302743,HOLSTEIN FRIESIAN,Female,19/04/2018,,,,36,
UK106710502738,HOLSTEIN FRIESIAN,Female,12/04/2018,,,,36,
UK107189203105,HOLSTEIN FRIESIAN,Female,26/09/2018,,,,30,
UK107189203021,HOLSTEIN FRIESIAN,Female,02/06/2018,,,,34,
UK107189703131,HOLSTEIN FRIESIAN,Female,27/10/2018,,,,29,
UK106710702754,HOLSTEIN FRIESIAN,Female,05/05/2018,,,,35,
UK107189203091,HOLSTEIN FRIESIAN,Female,30/08/2018,,,,31,
UK107189303071,HOLSTEIN FRIESIAN,Female,09/08/2018,,,,32,
UK107189303106,HOLSTEIN FRIESIAN,Female,28/09/2018,,,,30,
UK107189503059,HOLSTEIN FRIESIAN,Female,20/07/2018,,,,33,
UK107189403163,HOLSTEIN FRIESIAN,Female,23/11/2018,,,,29,
UK107189203126,HOLSTEIN FRIESIAN,Female,22/10/2018,,,,30,
UK107189603053,Holstein,Female,15/07/2018,,,,33,
UK107189403114,HOLSTEIN FRIESIAN,Female,15/10/2018,,,,30,
UK107189503066,HOLSTEIN FRIESIAN,Female,02/08/2018,,,,32,
UK107189603011,HOLSTEIN FRIESIAN,Female,29/04/2018,,,,35,
UK107189203056,Holstein,Female,27/07/2018,,,,33,
UK107189203049,HOLSTEIN FRIESIAN,Female,15/07/2018,,,,33,
UK107189503157,HOLSTEIN FRIESIAN,Female,16/11/2018,,,,29,
UK107189603144,HOLSTEIN FRIESIAN,Female,07/11/2018,,,,29,
UK107189703145,HOLSTEIN FRIESIAN,Female,08/11/2018,,,,29,
UK107189502933,HOLSTEIN FRIESIAN,Female,30/01/2018,,,,38,
UK107189302952,HOLSTEIN FRIESIAN,Female,11/02/2018,,,,38,
UK107189103027,Holstein,Female,26/06/2018,,,21/09/2020,27,
UK107189302980,HOLSTEIN FRIESIAN,Female,09/03/2018,,,,37,
UK107189202951,HOLSTEIN FRIESIAN,Female,11/02/2018,,,,38,
UK107189402925,HOLSTEIN FRIESIAN,Female,14/01/2018,,,,39,
UK106710302645,HOLSTEIN FRIESIAN,Female,17/10/2017,,,,42,
UK107189202937,HOLSTEIN FRIESIAN,Female,01/02/2018,,,,38,
UK107189302938,NORWEGIAN RED X,Female,01/02/2018,,,,38,
UK106710702691,HOLSTEIN FRIESIAN,Female,22/01/2018,,,,39,
UK107189303001,HOLSTEIN FRIESIAN X,Female,30/03/2018,,,,36,
UK107189702900,HOLSTEIN FRIESIAN,Female,22/11/2017,,,,41,
UK106710502717,HOLSTEIN FRIESIAN,Female,21/03/2018,,,,37,
UK107189402988,HOLSTEIN FRIESIAN,Female,18/03/2018,29/10/2020,Linden Foods,,31,
UK107189503010,HOLSTEIN FRIESIAN,Female,27/04/2018,,,06/02/2021,33,
UK106710202686,HOLSTEIN FRIESIAN,Female,16/01/2018,,,,39,
UK107189302924,HOLSTEIN FRIESIAN,Female,12/01/2018,,,,39,
UK107189602871,Swedish Red X,Female,23/10/2017,,,,42,
UK107189602934,HOLSTEIN FRIESIAN,Female,30/01/2018,,,07/09/2020,31,
UK106710602697,HOLSTEIN FRIESIAN,Female,05/02/2018,,,,38,
UK107189102929,HOLSTEIN FRIESIAN,Female,18/01/2018,,,,39,
UK107189602836,BRITISH FRIESIAN X,Female,11/09/2017,,,,43,
UK106710102580,Holstein,Female,04/06/2017,,,,46,
UK107189302777,Swedish Red X,Female,08/03/2017,,,,49,
UK107189702886,BRITISH FRIESIAN X,Female,07/11/2017,,,,41,
UK107189102789,BRITISH FRIESIAN X,Female,23/03/2017,,,,49,
UK107189702977,HOLSTEIN FRIESIAN,Female,07/03/2018,,,,37,
UK107189402869,Swedish Red X,Female,23/10/2017,,,,42,
UK107189502926,HOLSTEIN FRIESIAN,Female,14/01/2018,08/06/2020,31/377/0042 Nafferton Farm,,29,
UK106710702719,HOLSTEIN FRIESIAN,Female,25/03/2018,08/06/2020,31/377/0042 Nafferton Farm,,26,
UK106710502661,HOLSTEIN FRIESIAN,Female,30/11/2017,,,,-1435,
UK106710402737,HOLSTEIN FRIESIAN,Female,12/04/2018,08/06/2020,31/377/0042 Nafferton Farm,,26,
UK107189402918,HOLSTEIN FRIESIAN,Female,23/12/2017,08/06/2020,31/377/0042 Nafferton Farm,,29,
UK107189602829,BRITISH FRIESIAN X,Female,14/08/2017,08/06/2020,31/377/0042 Nafferton Farm,,34,
UK107189103013,HOLSTEIN FRIESIAN,Female,13/05/2018,08/06/2020,31/377/0042 Nafferton Farm,,25,
UK107189202979,HOLSTEIN FRIESIAN,Female,09/03/2018,,,,37,
UK107189502926,HOLSTEIN FRIESIAN,Female,14/01/2018,,,,39,
UK106710702719,HOLSTEIN FRIESIAN,Female,25/03/2018,,,,37,
UK106710502661,HOLSTEIN FRIESIAN,Female,30/11/2017,29/11/2019,Market,,24,
UK106710402737,HOLSTEIN FRIESIAN,Female,12/04/2018,29/10/2020,Linden Foods,,31,
UK107189402918,HOLSTEIN FRIESIAN,Female,23/12/2017,29/10/2020,Linden Foods,,34,
UK107189602829,BRITISH FRIESIAN X,Female,14/08/2017,,,,44,
UK107189103013,HOLSTEIN FRIESIAN,Female,13/05/2018,,,,35,
UK107189702963,HOLSTEIN FRIESIAN,Female,26/02/2018,,,07/09/2020,30,
UK107189502856,HOLSTEIN FRIESIAN,Female,01/10/2017,,,,42,
UK107189703026,Holstein,Female,26/06/2018,,,,34,
UK106710102720,HOLSTEIN FRIESIAN,Female,25/03/2018,,,,37,
UK106710602683,HOLSTEIN FRIESIAN,Female,13/01/2018,,,,39,
UK107189402876,Swedish Red X,Female,28/10/2017,,,,42,
UK107189102936,NORWEGIAN RED X,Female,30/01/2018,,,,38,
UK107189502835,BRITISH FRIESIAN X,Female,11/09/2017,,,,43,
UK107189102838,HOLSTEIN FRIESIAN,Female,13/09/2017,,,,43,
UK107189402946,HOLSTEIN FRIESIAN,Female,09/02/2018,,,,38,
UK107189402911,HOLSTEIN FRIESIAN,Female,05/12/2017,,,,40,
UK106710402681,HOLSTEIN FRIESIAN,Female,09/01/2018,11/11/2020,Linden Foods,,34,
UK107189602920,HOLSTEIN FRIESIAN,Female,28/12/2017,29/10/2020,Linden Foods,,34,
UK107189302875,Swedish Red X,Female,28/10/2017,,,,42,
UK107189702872,HOLSTEIN FRIESIAN,Female,24/10/2017,,,,42,
UK107189602878,Swedish Red X,Female,30/10/2017,11/11/2020,Linden Foods,,36,
UK107189502940,HOLSTEIN FRIESIAN,Female,01/02/2018,,,,38,
UK106710202679,HOLSTEIN FRIESIAN,Female,05/01/2018,,,,39,
UK106710702670,HOLSTEIN FRIESIAN,Female,13/12/2017,,,,40,
UK107189203000,HOLSTEIN FRIESIAN,Female,29/03/2018,,,,37,
UK106710402653,HOLSTEIN FRIESIAN,Female,08/11/2017,,,,41,
UK107189403009,HOLSTEIN FRIESIAN,Female,25/04/2018,,,,36,
UK106710102678,HOLSTEIN FRIESIAN,Female,04/01/2018,,,,39,
UK106710402681,HOLSTEIN FRIESIAN,Female,09/01/2018,,,,39,
UK106143100424,BEEF SHORTHORN,Male,22/02/2018,,,,38,
UK107189203035,Holstein,Female,27/06/2018,,,,34,
UK107189703208,HOLSTEIN FRIESIAN,Female,16/01/2019,,,,27,
UK107189303505,BRITISH FRIESIAN X,Female,10/04/2020,,,,12,
UK107189103538,HOLSTEIN FRIESIAN,Female,30/06/2020,,,26/11/2020,4,
UK107189403541,BRITISH FRIESIAN X,Female,17/07/2020,,,,8,
UK 107189 303624,ABERDEEN ANGUS X,Bull,18/07/2020,16/02/2021,31/227/0024 Cockle Park,,7,
UK107189703544,HOLSTEIN FRIESIAN,Female,18/07/2020,,,,8,
UK107189503542,HOLSTEIN FRIESIAN,Female,19/07/2020,,,,8,
UK107189603543,BRITISH FRIESIAN X,Female,20/07/2020,,,,8,
UK107189103545,HOLSTEIN FRIESIAN,Female,23/07/2020,,,,8,
UK107189203546,HOLSTEIN FRIESIAN,Female,25/07/2020,,,,8,
UK107189303547,HOLSTEIN FRIESIAN,Female,01/08/2020,,,,8,
UK107189403548,BRITISH FRIESIAN X,Female,01/08/2020,,,14/12/2020,4,
UK107189503549,LONGHORN X,Female,05/08/2020,,,02/09/2020,0,
UK107189403625,LONGHORN X,Bull,05/08/2020,16/02/2021,31/227/0024 Cockle Park,,6,
UK107189603550,HOLSTEIN FRIESIAN X,Female,06/08/2020,,,,8,
UK107189703551,BRITISH FRIESIAN X,Female,07/08/2020,,,27/08/2020,0,
UK107189103552,BRITISH FRIESIAN X,Female,09/08/2020,,,,8,
UK107189203553,BRITISH FRIESIAN X,Female,09/08/2020,,,,8,
UK107189303554,BRITISH FRIESIAN X,Female,10/08/2020,,,22/01/2021,5,
UK107189403555,BRITISH FRIESIAN X,Female,10/08/2020,,,,8,
UK107189503556,BRITISH FRIESIAN X,Female,11/08/2020,,,,8,
UK107189503626,BRITISH FRIESIAN X,Bull,13/08/2020,,,14/12/2020,4,
UK107189603557,ABERDEEN ANGUS X,Female,14/08/2020,16/02/2021,31/227/0024 Cockle Park,,6,
UK107189703628,LONGHORN X,Bull,21/08/2020,,,22/01/2021,5,
UK107189703558,Longhorn,Female,23/08/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189103559,LONGHORN X,Female,23/08/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189103629,LONGHORN X,Bull,24/08/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189203560,LONGHORN X,Female,24/08/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189203630,LONGHORN X,Female,24/08/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189303631,LONGHORN X,Female,25/08/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189403632,LONGHORN X,Female,25/08/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189503633,LONGHORN X,Female,25/08/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189703635,LONGHORN X,Bull,27/08/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189103636,LONGHORN X,Female,27/08/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189203637,LONGHORN X,Bull,27/08/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189303638,LONGHORN X,Female,27/08/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189203644,LONGHORN X,Bull,27/08/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189503640,LONGHORN X,Female,30/08/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189603641,Shorthorn,Bull,30/08/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189703642,ABERDEEN ANGUS X,Female,31/08/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189103643,LONGHORN X,Bull,31/08/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189303645,Shorthorn,Bull,31/08/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189403646,LONGHORN X,Bull,31/08/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189603662,LONGHORN X,Female,02/09/2020,,,21/09/2020,0,
UK107189303652,LONGHORN X,Bull,02/09/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189403653,LONGHORN X,Female,02/09/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189603655,LONGHORN X,Female,03/09/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189103657,LONGHORN X,Female,03/09/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189203658,LONGHORN X,Bull,03/09/2020,,,05/11/2020,2,
UK107189303659,LONGHORN X,Female,04/09/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189403660,LONGHORN X,Female,04/09/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189503668,HOLSTEIN FRIESIAN,Bull,12/09/2020,,,05/10/2020,0,
UK107189103678,LONGHORN X,Bull,13/09/2020,,,12/10/2020,0,
UK107189703663,LONGHORN X,Female,13/09/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189103664,HOLSTEIN FRIESIAN,Female,13/09/2020,,,,7,
UK107189203665,LONGHORN X,Bull,13/09/2020,,,02/12/2020,2,
UK107189603669,LONGHORN X,Female,13/09/2020,,,10/10/2020,0,
UK107189703670,LONGHORN X,Female,13/09/2020,,,,7,
UK107189103671,LONGHORN X,Bull,13/09/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189203672,LONGHORN X,Female,19/09/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189303673,LONGHORN X,Female,19/09/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189403674,LONGHORN X,Bull,19/09/2020,16/02/2021,31/227/0024 Cockle Park,,5,
UK107189503654,HOLSTEIN FRIESIAN,Bull,20/09/2020,,,,6,
UK107189603676,LONGHORN X,Female,20/09/2020,16/02/2021,31/227/0024 Cockle Park,,4,
UK107189703677,LONGHORN X,Female,20/09/2020,16/02/2021,31/227/0024 Cockle Park,,4,
UK107189203679,LONGHORN X,Female,01/10/2020,16/02/2021,31/227/0024 Cockle Park,,4,
UK107189303680,DAIRY SHORTHORN X,Bull,01/10/2020,16/02/2021,31/227/0024 Cockle Park,,4,
UK107189403681,LONGHORN X,Bull,01/10/2020,16/02/2021,31/227/0024 Cockle Park,,4,
UK107189503682,LONGHORN X,Female,01/10/2020,16/02/2021,31/227/0024 Cockle Park,,4,
UK107189603683,LONGHORN X,Female,01/10/2020,16/02/2021,31/227/0024 Cockle Park,,4,
UK107189703684,LONGHORN X,Bull,02/10/2020,16/02/2021,31/227/0024 Cockle Park,,4,
UK107189103685,LONGHORN X,Bull,02/10/2020,16/02/2021,31/227/0024 Cockle Park,,4,
UK107189203686,LONGHORN X,Female,02/10/2020,,,10/11/2020,1,
UK107189303687,HOLSTEIN FRIESIAN,Female,07/10/2020,16/02/2021,31/227/0024 Cockle Park,,4,
UK107189403688,LONGHORN X,Bull,07/10/2020,16/02/2021,31/227/0024 Cockle Park,,4,
UK107189503689,LONGHORN X,Female,07/10/2020,16/02/2021,31/227/0024 Cockle Park,,4,
UK107189603690,LONGHORN X,Bull,07/10/2020,,,,6,
UK107189703691,LONGHORN X,Female,07/10/2020,16/02/2021,31/227/0024 Cockle Park,,4,
UK107189703565,BRITISH FRIESIAN X,Female,20/10/2020,,,10/04/2021,5,
UK107189103566,LONGHORN X,Bull,27/10/2020,16/02/2021,31/227/0024 Cockle Park,,3,
UK107189203567,LONGHORN X,Female,27/10/2020,16/02/2021,31/227/0024 Cockle Park,,3,
UK107189303568,ABERDEEN ANGUS X,Female,27/10/2020,16/02/2021,31/227/0024 Cockle Park,,3,
UK107189403569,HOLSTEIN FRIESIAN,Bull,27/10/2020,,,,5,
UK107189503570,LONGHORN X,Bull,27/10/2020,16/02/2021,31/227/0024 Cockle Park,,3,
UK107189603571,LONGHORN X,Bull,27/10/2020,16/02/2021,31/227/0024 Cockle Park,,3,
UK107189703572,ABERDEEN ANGUS X,Female,30/10/2020,16/02/2021,31/227/0024 Cockle Park,,3,
UK107189103573,ABERDEEN ANGUS X,Bull,30/10/2020,16/02/2021,31/227/0024 Cockle Park,,3,
UK107189203574,BRITISH BLUE X,Female,30/10/2020,,,16/02/2021,3,
UK107189603578,LONGHORN X,Female,30/10/2020,16/02/2021,31/227/0024 Cockle Park,,3,
UK107189703579,LONGHORN X,Bull,30/10/2020,16/02/2021,31/227/0024 Cockle Park,,3,
UK107189103580,LONGHORN X,Female,30/10/2020,16/02/2021,31/227/0024 Cockle Park,,3,
UK107189203581,LONGHORN X,Female,30/10/2020,16/02/2021,31/227/0024 Cockle Park,,3,
UK107189403576,LONGHORN X,Bull,01/11/2020,16/02/2021,31/227/0024 Cockle Park,,3,
UK107189303575,LONGHORN X,Bull,01/11/2020,16/02/2021,31/227/0024 Cockle Park,,3,
UK107189503577,LONGHORN X,Female,01/11/2020,16/02/2021,31/227/0024 Cockle Park,,3,
UK107189303582,LONGHORN X,Bull,02/11/2020,16/02/2021,31/227/0024 Cockle Park,,3,
UK107189403583,BRITISH FRIESIAN X,Female,05/11/2020,,,,5,
UK107189203588,BRITISH FRIESIAN X,Female,05/11/2020,,,,5,
UK107189303589,BRITISH BLUE X,Bull,05/11/2020,16/02/2021,31/227/0024 Cockle Park,,3,
UK107189503584,LONGHORN X,Bull,06/11/2020,16/02/2021,31/227/0024 Cockle Park,,3,
UK107189603585,LONGHORN X,Female,06/11/2020,16/02/2021,31/227/0024 Cockle Park,,3,
UK107189703586,LONGHORN X,Bull,06/11/2020,,,24/12/2020,1,
UK107189103587,LONGHORN X,Female,06/11/2020,,,17/12/2020,1,
UK107189403590,LONGHORN X,Female,10/11/2020,16/02/2021,31/227/0024 Cockle Park,,3,
UK107189603592,LONGHORN X,Bull,10/11/2020,16/02/2021,31/227/0024 Cockle Park,,3,
UK107189203595,LONGHORN X,Female,10/11/2020,16/02/2021,31/227/0024 Cockle Park,,3,
UK107189503591,BRITISH FRIESIAN X,Female,10/11/2020,,,,5,
UK107189703593,BRITISH FRIESIAN X,Female,15/11/2020,,,,4,
UK107189303596,BRITISH FRIESIAN X,Bull,15/11/2020,16/02/2021,31/227/0024 Cockle Park,,3,
UK107189403597,LONGHORN X,Female,15/11/2020,16/02/2021,31/227/0024 Cockle Park,,3,
UK107189503598,BRITISH FRIESIAN X,Female,15/11/2020,,,,4,
UK107189103594,HOLSTEIN FRIESIAN X,Female,15/11/2020,,,,4,
UK107189703600,LONGHORN X,Female,27/11/2020,,,,4,
UK107189103601,ABERDEEN ANGUS X,Female,27/11/2020,,,,4,
UK107189603599,LONGHORN X,Bull,27/11/2020,,,,4,
UK107189503752,LONGHORN X,Female,04/12/2020,,,,4,
UK107189203756,LONGHORN X,Bull,04/12/2020,,,,4,
UK107189103755,LONGHORN X,Female,04/12/2020,,,,4,
UK107189403758,LONGHORN X,Female,10/12/2020,,,,4,
UK107189503759,LONGHORN X,Female,20/12/2020,,,,3,
UK107189603760,LONGHORN X,Bull,20/12/2020,,,,3,
UK107189703761,LONGHORN X,Bull,20/12/2020,,,,3,
UK107189203763,LONGHORN X,Bull,20/12/2020,,,,3,
UK107189303764,LONGHORN X,Bull,20/12/2020,,,,3,
UK107189403765,LONGHORN X,Bull,20/12/2020,,,,3,
UK107189503766,LONGHORN X,Female,20/12/2020,,,,3,
UK106710402737,HOLSTEIN FRIESIAN,Female,12/04/2018,,,,36,
UK107189603767,LONGHORN X,Bull,27/12/2020,,,18/03/2021,2,
UK107189103769,LONGHORN X,Bull,27/12/2020,,,22/02/2021,1,
UK107189203770,LONGHORN X,Bull,10/01/2021,,,,3,
UK107189303771,LONGHORN X,Female,24/01/2021,,,04/03/2021,1,
UK107189503773,HOLSTEIN FRIESIAN,Female,09/02/2021,,,,2,
UK107189603774,JERSEY X,Female,16/02/2021,,,12/03/2021,0,
UK107189703775,HOLSTEIN FRIESIAN,Bull,16/02/2021,,,,1,
UK107189103328,HOLSTEIN FRIESIAN,Female,14/05/2019,,,,23,
UK107189303197,HOLSTEIN FRIESIAN,Female,27/12/2018,,,12/03/2021,26,
UK107189703117,HOLSTEIN FRIESIAN,Female,16/10/2018,,,,30,
UK107189103209,HOLSTEIN FRIESIAN,Female,17/01/2019,,,,27,
UK107189503227,HOLSTEIN FRIESIAN,Female,16/02/2019,,,,26,
UK107189203112,HOLSTEIN FRIESIAN,Female,10/10/2018,,,04/03/2021,29,
UK107189203231,HOLSTEIN FRIESIAN X,Female,18/02/2019,,,,26,
UK107189503136,HOLSTEIN FRIESIAN,Female,31/10/2018,,,,29,
UK107189503178,HOLSTEIN FRIESIAN,Female,03/12/2018,,,,28,
UK107189603186,HOLSTEIN FRIESIAN,Female,18/12/2018,,,,28,
UK107189603151,HOLSTEIN FRIESIAN,Female,14/11/2018,,,,29,
UK107189603228,HOLSTEIN FRIESIAN X,Female,17/02/2019,,,,26,
UK107189103104,HOLSTEIN FRIESIAN,Female,23/09/2018,,,,31,
UK107189103216,HOLSTEIN FRIESIAN X,Female,26/01/2019,,,,26,
UK107189103258,HOLSTEIN FRIESIAN,Female,14/03/2019,,,,25,
UK107189403191,Swedish Red X,Female,25/12/2018,,,,27,
UK107189603179,HOLSTEIN FRIESIAN,Female,03/12/2018,,,,28,
UK107189403198,HOLSTEIN FRIESIAN,Female,27/12/2018,,,,27,
UK107189203175,HOLSTEIN FRIESIAN,Female,01/12/2018,,,03/03/2021,27,
UK107189603165,HOLSTEIN FRIESIAN,Female,25/11/2018,,,,28,
UK107189703313,HOLSTEIN FRIESIAN,Female,14/04/2019,,,,24,
UK107189203217,HOLSTEIN FRIESIAN,Female,01/02/2019,,,,26,
UK107189103188,HOLSTEIN FRIESIAN,Female,22/12/2018,,,,28,
UK107189303204,HOLSTEIN FRIESIAN,Female,08/01/2019,,,,27,
UK107189603214,HOLSTEIN FRIESIAN,Female,25/01/2019,,,,26,
UK107189303169,HOLSTEIN FRIESIAN,Female,25/11/2018,,,,28,
UK107189303211,HOLSTEIN FRIESIAN,Female,21/01/2019,,,,27,
UK107189303253,HOLSTEIN FRIESIAN,Female,13/03/2019,,,,25,
UK107189703236,HOLSTEIN FRIESIAN,Female,19/02/2019,,,,26,
UK107189403786,Swedish Red X,Female,23/02/2021,,,,1,
